case_id,dice,iou,category,primary_group,suggested_action,review_decision,corrected_mask_path,reviewer,reviewed_at,notes
tn3k_roi_0005,0.3877071313402102,0.2404694202130223,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0335,0.45862706681559334,0.297544518229012,location_shift,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0430,0.46352815190081964,0.3016834655800987,location_shift,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0358,0.4735823685677741,0.3102574019165485,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0146,0.49050856120623565,0.3249495483049585,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0537,0.49756025066257153,0.33116818886214516,location_shift,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0223,0.5048023229841412,0.33761577532118314,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0541,0.5059482692455292,0.3386417343059694,boundary_or_shape_mismatch,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0192,0.5067040764021906,0.33931926578985405,location_shift,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0216,0.5179320293890697,0.34946577327055417,location_shift,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0372,0.5420560747663551,0.3717948717948718,undersegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0512,0.5614315705288413,0.390271021542738,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0429,0.6039601218499031,0.4326238321001369,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0213,0.6404961039455886,0.4711248756288625,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0012,0.6434858387799565,0.4743672105871772,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0170,0.6645466532226789,0.4976187710535486,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0096,0.6661036218937795,0.49936684200272746,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0354,0.668202588027493,0.50172990427863,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0135,0.6772218846352935,0.5119693747341557,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0565,0.6840696963950867,0.5198373306862212,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0380,0.6859033548784241,0.5219580747160089,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0203,0.6861052841873939,0.5221919807806347,undersegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0368,0.6968202329730298,0.5347076823965212,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0123,0.697324414715719,0.5353016688061617,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0010,0.7046967031285857,0.5440399208669207,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0320,0.7126890794021276,0.553626220362622,boundary_or_shape_mismatch,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0479,0.7127838576370661,0.5537406144772342,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0405,0.7212214411247804,0.5639924411613125,boundary_or_shape_mismatch,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0145,0.7275365411287741,0.5717543683133782,undersegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0425,0.7277901749619999,0.5720677207788907,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0057,0.7278544237155431,0.572147116874297,undersegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0134,0.7308445695376833,0.5758511148405658,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0448,0.7371780397115718,0.5837545298493229,oversegmentation,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0167,0.7372754491017964,0.5838767042086545,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0238,0.7493039929827238,0.5991096067938221,boundary_or_shape_mismatch,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0393,0.7514287560820231,0.6018309005131846,boundary_or_shape_mismatch,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
tn3k_roi_0071,0.7557645419714385,0.6074127988354515,boundary_or_shape_mismatch,model_hard,verify_label_then_mark_hard_case_or_correct_mask,,,,,
