epoch,train_loss,lr,val_dice,val_iou,val_best_dice,val_best_iou,val_best_threshold
1,0.995393,0.001,0.527707,0.392524,0.53433,0.399506,0.3
2,0.835906,0.00099932,0.543199,0.409598,0.556733,0.423252,0.3
3,0.79705,0.00099729,0.545342,0.4151,0.546603,0.415562,0.4
4,0.755712,0.00099391,0.614508,0.483456,0.622654,0.491086,0.7
5,0.703704,0.00098918,0.637879,0.505271,0.639222,0.506113,0.35
6,0.656553,0.00098313,0.677555,0.544079,0.67923,0.545542,0.35
7,0.613588,0.00097577,0.685984,0.559358,0.69486,0.568939,0.3
8,0.580902,0.00096712,0.699557,0.575815,0.716652,0.593502,0.3
9,0.560895,0.00095721,0.722052,0.598364,0.72215,0.59848,0.45
10,0.539614,0.00094605,0.725597,0.610337,0.731746,0.616522,0.3
11,0.522397,0.00093368,0.729131,0.614972,0.736171,0.621982,0.3
12,0.506771,0.00092014,0.727717,0.613904,0.731484,0.61732,0.3
13,0.494713,0.00090546,0.750837,0.632521,0.751408,0.633064,0.6
14,0.482286,0.00088969,0.752988,0.635923,0.752988,0.635923,0.5
15,0.474172,0.00087286,0.745193,0.630168,0.745193,0.630168,0.5
16,0.459933,0.00085502,0.758111,0.643277,0.760269,0.645792,0.65
17,0.450253,0.00083622,0.742587,0.62846,0.743004,0.629089,0.55
18,0.4428,0.00081651,0.753274,0.639301,0.754811,0.641281,0.65
19,0.432138,0.00079595,0.761867,0.648196,0.762146,0.648792,0.55
20,0.425017,0.0007746,0.76348,0.651741,0.767371,0.654612,0.3
21,0.41407,0.0007525,0.760522,0.648973,0.760758,0.649372,0.45
22,0.413653,0.00072973,0.76698,0.653767,0.76698,0.653767,0.5
23,0.400478,0.00070633,0.754965,0.643653,0.762287,0.653285,0.7
24,0.396673,0.00068239,0.763889,0.653411,0.766641,0.655604,0.3
25,0.398875,0.00065796,0.767243,0.656905,0.767818,0.657777,0.4
26,0.388649,0.00063312,0.767835,0.657073,0.768783,0.657874,0.35
27,0.381733,0.00060792,0.76252,0.650404,0.765228,0.65374,0.3
28,0.377994,0.00058244,0.754827,0.646885,0.755978,0.648847,0.65
29,0.372339,0.00055674,0.76971,0.662653,0.771063,0.663412,0.35
30,0.362455,0.00053091,0.774806,0.666684,0.776085,0.66774,0.3
31,0.359399,0.000505,0.770135,0.661346,0.770359,0.661981,0.4
32,0.352065,0.00047909,0.766641,0.657151,0.773121,0.66421,0.3
33,0.348731,0.00045326,0.773346,0.666169,0.775186,0.667811,0.3
34,0.343516,0.00042756,0.766676,0.661754,0.766774,0.661897,0.55
35,0.339327,0.00040208,0.763713,0.658012,0.763713,0.658012,0.5
36,0.332685,0.00037688,0.764369,0.65761,0.768296,0.662258,0.3
37,0.329161,0.00035204,0.776622,0.670165,0.77693,0.670289,0.4
38,0.326588,0.00032761,0.776843,0.669045,0.777169,0.669293,0.4
39,0.3191,0.00030367,0.773956,0.667653,0.774082,0.667554,0.45
40,0.315178,0.00028027,0.772473,0.667169,0.774613,0.669186,0.3
41,0.313756,0.0002575,0.780173,0.67177,0.780887,0.672524,0.35
42,0.30419,0.0002354,0.781243,0.673996,0.781419,0.674088,0.45
43,0.301673,0.00021405,0.772325,0.668003,0.774736,0.669961,0.3
44,0.303366,0.00019349,0.777154,0.671725,0.777653,0.671876,0.35
45,0.29459,0.00017378,0.780493,0.673898,0.781792,0.675132,0.35
46,0.291839,0.00015498,0.779822,0.673,0.779867,0.672897,0.45
47,0.29014,0.00013714,0.78042,0.674153,0.78113,0.674899,0.35
48,0.284801,0.00012031,0.777517,0.672143,0.777661,0.672133,0.45
49,0.284764,0.00010454,0.780369,0.673709,0.780479,0.673466,0.4
50,0.283661,8.986e-05,0.781336,0.67457,0.781336,0.67457,0.5
51,0.278302,7.632e-05,0.780343,0.673649,0.780375,0.673535,0.45
52,0.277371,6.395e-05,0.780341,0.673244,0.780518,0.673399,0.45
53,0.278808,5.279e-05,0.778757,0.672504,0.779034,0.672564,0.4
54,0.278653,4.288e-05,0.779889,0.673072,0.780069,0.673149,0.45
55,0.272365,3.423e-05,0.780608,0.674107,0.780824,0.6742,0.4
56,0.269798,2.687e-05,0.777701,0.671903,0.778193,0.672378,0.4
57,0.274236,2.082e-05,0.778806,0.67237,0.779735,0.67287,0.35
58,0.270011,1.609e-05,0.778904,0.673089,0.779073,0.672912,0.4
59,0.266157,1.271e-05,0.77858,0.673057,0.779656,0.673437,0.3
60,0.267983,1.068e-05,0.77913,0.673327,0.779387,0.67323,0.4
